modname:practicallogistics2

texture:id=txt0001,filename=assets/practicallogistics2/textures/model/mini_display.png,xcount=1,ycount=1
texture:id=txt0003,filename=assets/practicallogistics2/textures/blocks/sapphire_ore.png,xcount=1,ycount=1
texture:id=txt0002,filename=assets/practicallogistics2/textures/model/info_reader.png,xcount=1,ycount=1
block:id=%redstonesignaller,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%redstonesignaller,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%redstonesignaller,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%redstonesignaller,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%redstonesignaller,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%redstonesignaller,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%datareceiver,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%advancedholographicdisplay,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%array,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%inventoryreader,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%node,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%minidisplay,data=0,patch0=0:txt0001,patch1=0:txt0001,patch2=0:txt0001,patch3=0:txt0001,patch4=0:txt0001,patch5=0:txt0001,transparency=TRANSPARENT,stdrot=true
block:id=%minidisplay,data=3,patch0=4000:txt0001,patch1=5000:txt0001,patch2=6000:txt0001,patch3=0:txt0001,patch4=5000:txt0001,patch5=0:txt0001,transparency=TRANSPARENT,stdrot=true
